,t,u,y
0,0.0,0,0.0
1,0.05555555555555555,0,0.0
2,0.1111111111111111,0,0.0
3,0.16666666666666666,0,0.0
4,0.2222222222222222,0,0.0
5,0.25135,1,0.0101517687
6,0.43020833333333336,1,0.0117542695
7,0.596875,1,0.0103015103
8,0.7635416666666667,1,0.0098113977
9,0.9302083333333332,1,0.009637984
10,1.096875,1,0.008635812199999999
11,1.2635416666666666,1,0.008585674599999999
12,1.4302083333333333,1,0.0088666575
13,1.596875,1,0.0097176633
14,1.7635416666666666,1,0.0102694031
15,1.9302083333333333,1,0.0114829967
16,2.096875,1,0.0126771697
17,2.263541666666667,1,0.015361949199999999
18,2.4302083333333333,1,0.018814812099999998
19,2.596875,1,0.0227664352
20,2.763541666666667,1,0.0279311625
21,2.9302083333333333,1,0.0335392902
22,3.096875,1,0.0411567518
23,3.263541666666667,1,0.0500211584
24,3.4302083333333333,1,0.0589562164
25,3.596875,1,0.070161555
26,3.763541666666667,1,0.0853852798
27,3.930208333333333,1,0.1001934634
28,4.096875,1,0.11738154609999996
29,4.263541666666667,1,0.1333983207
30,4.430208333333334,1,0.14679317880000006
31,4.596875,1,0.16141461199999999
32,4.763541666666667,1,0.1821257027
33,4.930208333333334,1,0.1977228121
34,5.096875,1,0.2127356701
35,5.263541666666667,1,0.2285106486
36,5.430208333333334,1,0.24880824010000002
37,5.596875,1,0.26982196680000003
38,5.763541666666668,1,0.28982106389999995
39,5.930208333333334,1,0.3029193337
40,6.096875,1,0.31931251949999995
41,6.263541666666668,1,0.33616874840000005
42,6.430208333333334,1,0.3538143959
43,6.596875,1,0.382409965
44,6.763541666666668,1,0.4008348672
45,6.930208333333334,1,0.4171192705
46,7.096875,1,0.4397486093
47,7.263541666666668,1,0.4629693361000001
48,7.430208333333334,1,0.4821480826000001
49,7.596875,1,0.5054417024000001
50,7.763541666666668,1,0.5294234945
51,7.930208333333334,1,0.5519813152
52,8.096875,1,0.5584815147000001
53,8.263541666666667,1,0.5803513873
54,8.430208333333333,1,0.5990407502
55,8.596875,1,0.6229196002
56,8.763541666666667,1,0.6358144432999999
57,8.930208333333333,1,0.6507882067000001
58,9.096875,1,0.6717199083000001
59,9.263541666666667,1,0.6889775531
60,9.430208333333333,1,0.7120774842
61,9.596875,1,0.7260146489999999
62,9.763541666666667,1,0.7532137335
63,9.930208333333333,1,0.7782525069
64,10.096875,1,0.7763134741000001
65,10.263541666666667,1,0.7864244139
66,10.430208333333333,1,0.7967425374999999
67,10.596875,1,0.8262880557999999
68,10.763541666666667,1,0.8417126280999999
69,10.930208333333333,1,0.8501162008999998
70,11.096875,1,0.8695904096000001
71,11.263541666666667,1,0.8796179479
72,11.430208333333333,1,0.9018669104000001
73,11.596875,1,0.9120778949
74,11.763541666666667,1,0.9242719831999999
75,11.930208333333333,1,0.9419558154999998
76,12.096875,1,0.9620865501000001
77,12.263541666666667,1,0.9886829072
78,12.430208333333333,1,1.0082972315999998
79,12.596875,1,1.0144832533
80,12.763541666666667,1,1.0193630891
81,12.930208333333333,1,1.039746917
82,13.096875,1,1.0588200308
83,13.263541666666667,1,1.0696371462
84,13.430208333333333,1,1.0899963013
85,13.596875,1,1.1058680137
86,13.763541666666667,1,1.123077174
87,13.930208333333333,1,1.1299721978
88,14.096875,1,1.1394766805999998
89,14.263541666666667,1,1.1563490303
90,14.430208333333333,1,1.1545960248
91,14.596875,1,1.1664866694
92,14.763541666666667,1,1.1789951277
93,14.930208333333333,1,1.1905406776
94,15.096875,1,1.1911069988
95,15.263541666666667,1,1.1881627690999998
96,15.430208333333333,1,1.1979533719
97,15.596875,1,1.2296363055
98,15.763541666666667,1,1.2352081264
99,15.930208333333333,1,1.2508992943000001
100,16.096875,1,1.2598948302
101,16.263541666666665,1,1.2654130338
102,16.430208333333333,1,1.2812636747
103,16.596875,1,1.2905297499
104,16.763541666666665,1,1.2853010719
105,16.930208333333333,1,1.2843468379
106,17.096875,1,1.2968524059
107,17.263541666666665,1,1.3010575363
108,17.430208333333333,1,1.3103596891
109,17.596875,1,1.3241337349000002
110,17.763541666666665,1,1.3285899604
111,17.930208333333333,1,1.3260722347999998
112,18.096875,1,1.3314400277000005
113,18.263541666666665,1,1.3209032402
114,18.430208333333333,1,1.3210675305
115,18.596875,1,1.3324027233
116,18.763541666666665,1,1.3343132518
117,18.930208333333333,1,1.3341878954000004
118,19.096875,1,1.3394493609000002
119,19.263541666666665,1,1.3543842066999998
120,19.430208333333333,1,1.3592939039000005
121,19.596875,1,1.3682475753
122,19.763541666666665,1,1.3716358134000002
123,19.930208333333333,1,1.3734106406
124,20.201980555555558,1,1.3844209221000001
125,20.368647222222226,1,1.3292630229
126,20.53531388888889,1,1.3966325988
127,20.701980555555558,1,1.3977816056999999
128,20.868647222222226,1,1.4093558049
129,21.03531388888889,1,1.4330039394999998
130,21.201980555555558,1,1.4529560637
131,21.368647222222226,1,1.4705745975000002
132,21.53531388888889,1,1.4912757420999998
133,21.701980555555558,1,1.5093220119
134,21.868647222222233,1,1.5354104250999998
135,22.03531388888889,1,1.5402989256
136,22.201980555555558,1,1.5585366984000002
137,22.368647222222233,1,1.5742005984999998
138,22.53531388888889,1,1.5946703533000002
139,22.701980555555558,1,1.6047209158000002
140,22.868647222222233,1,1.6165882699
141,23.03531388888889,1,1.6302206895999998
142,23.201980555555558,1,1.6478429491
143,23.368647222222233,1,1.6464110081
144,23.53531388888889,1,1.6597609377999998
145,23.701980555555558,1,1.6695109031
146,23.868647222222233,1,1.6853488296
147,24.03531388888889,1,1.6889669596
148,24.201980555555558,1,1.6989365836
149,24.368647222222233,1,1.7058050579999997
150,24.53531388888889,1,1.7284571834000004
151,24.701980555555558,1,1.7412056300999998
152,24.868647222222233,1,1.7472410272999996
153,25.03531388888889,1,1.7446283365000002
154,25.201980555555558,1,1.7492887378
155,25.368647222222233,1,1.7444164334000003
156,25.53531388888889,1,1.7566595619999998
157,25.701980555555558,1,1.757330171
158,25.868647222222233,1,1.7508841335
159,26.03531388888889,1,1.7698163430999996
160,26.201980555555558,1,1.7747663929000002
161,26.368647222222233,1,1.7739233341
162,26.53531388888889,1,1.7795651440000002
163,26.701980555555558,1,1.7993607366
164,26.868647222222233,1,1.7897853813999998
165,27.03531388888889,1,1.7925023883000002
166,27.201980555555558,1,1.7977407894
167,27.368647222222233,1,1.815005534
168,27.53531388888889,1,1.8317867965
169,27.701980555555558,1,1.8422089348
170,27.868647222222233,1,1.84963276
171,28.03531388888889,1,1.8354716593
172,28.201980555555558,1,1.8388858472999998
173,28.368647222222233,1,1.8399080848
174,28.53531388888889,1,1.827121288
175,28.701980555555558,1,1.8367190430000002
176,28.868647222222233,1,1.8161684205
177,29.03531388888889,1,1.8204319238999997
178,29.201980555555558,1,1.8321585674
179,29.368647222222233,1,1.8317208873
180,29.53531388888889,1,1.8293916835
181,29.701980555555558,1,1.8219661202
182,29.868647222222233,1,1.8298899606999999
183,30.03531388888889,1,1.8302683163
184,30.201980555555558,1,1.8209712965
185,30.368647222222233,1,1.8191128730000001
186,30.53531388888889,1,1.8212174587
187,30.701980555555558,1,1.8196089479
188,30.868647222222233,1,1.8269765672999998
189,31.03531388888889,1,1.8306346474000001
190,31.201980555555558,1,1.8334531406999999
191,31.368647222222233,1,1.7384902309
192,31.64476666666667,1,1.7786540133000002
193,31.81143333333333,1,1.7676735758000002
194,31.9781,1,1.7503836554000003
195,32.14476666666667,1,1.7449419882
